"site","round","rep","species","start_date","NOTES","date","n_germ"
"IL","1","1","DC",2020-01-21,NA,2020-01-23,"7"
"IL","1","1","DC",2020-01-21,NA,2020-01-24,"0"
"IL","1","1","DC",2020-01-21,NA,2020-01-25,"0"
"IL","1","1","DC",2020-01-21,NA,2020-01-26,"1"
"IL","1","1","DC",2020-01-21,NA,2020-01-27,"0"
"IL","1","1","DC",2020-01-21,NA,2020-01-28,"0"
"IL","1","1","DC",2020-01-21,NA,2020-01-29,"0"
"IL","1","1","DC",2020-01-21,NA,2020-01-30,"0"
"IL","1","1","DC",2020-01-21,NA,2020-01-31,"0"
"IL","1","1","DC",2020-01-21,NA,2020-02-01,"NA"
"IL","1","1","DC",2020-01-21,NA,2020-02-02,"NA"
"IL","1","1","DC",2020-01-21,NA,2020-02-03,"0"
"IL","1","1","DC",2020-01-21,NA,2020-02-04,"0"
"IL","1","1","DC",2020-01-21,NA,2020-02-05,"0"
"IL","1","1","DC",2020-01-21,NA,2020-02-06,"0"
"IL","1","1","DC",2020-01-21,NA,2020-02-07,"0"
"IL","1","2","DC",2020-01-21,NA,2020-01-21,"27"
"IL","1","2","DC",2020-01-21,NA,2020-01-22,"7"
"IL","1","2","DC",2020-01-21,NA,2020-01-23,"8"
"IL","1","2","DC",2020-01-21,NA,2020-01-24,"1"
"IL","1","2","DC",2020-01-21,NA,2020-01-25,"0"
"IL","1","2","DC",2020-01-21,NA,2020-01-26,"3"
"IL","1","2","DC",2020-01-21,NA,2020-01-27,"0"
"IL","1","2","DC",2020-01-21,NA,2020-01-28,"0"
"IL","1","2","DC",2020-01-21,NA,2020-01-29,"0"
"IL","1","2","DC",2020-01-21,NA,2020-01-30,"0"
"IL","1","2","DC",2020-01-21,NA,2020-01-31,"0"
"IL","1","2","DC",2020-01-21,NA,2020-02-01,"NA"
"IL","1","2","DC",2020-01-21,NA,2020-02-02,"NA"
"IL","1","2","DC",2020-01-21,NA,2020-02-03,"0"
"IL","1","2","DC",2020-01-21,NA,2020-02-04,"0"
"IL","1","2","DC",2020-01-21,NA,2020-02-05,"0"
"IL","1","2","DC",2020-01-21,NA,2020-02-06,"0"
"IL","1","2","DC",2020-01-21,NA,2020-02-07,"0"
"IL","1","3","DC",2020-01-21,NA,2020-01-21,"34"
"IL","1","3","DC",2020-01-21,NA,2020-01-22,"0"
"IL","1","3","DC",2020-01-21,NA,2020-01-23,"10"
"IL","1","3","DC",2020-01-21,NA,2020-01-24,"0"
"IL","1","3","DC",2020-01-21,NA,2020-01-25,"2"
"IL","1","3","DC",2020-01-21,NA,2020-01-26,"2"
"IL","1","3","DC",2020-01-21,NA,2020-01-27,"0"
"IL","1","3","DC",2020-01-21,NA,2020-01-28,"0"
"IL","1","3","DC",2020-01-21,NA,2020-01-29,"2"
"IL","1","3","DC",2020-01-21,NA,2020-01-30,"0"
"IL","1","3","DC",2020-01-21,NA,2020-01-31,"1"
"IL","1","3","DC",2020-01-21,NA,2020-02-01,"NA"
"IL","1","3","DC",2020-01-21,NA,2020-02-02,"NA"
"IL","1","3","DC",2020-01-21,NA,2020-02-03,"0"
"IL","1","3","DC",2020-01-21,NA,2020-02-04,"0"
"IL","1","3","DC",2020-01-21,NA,2020-02-05,"0"
"IL","1","3","DC",2020-01-21,NA,2020-02-06,"0"
"IL","1","3","DC",2020-01-21,NA,2020-02-07,"0"
"IL","1","4","DC",2020-01-21,NA,2020-01-21,"28"
"IL","1","4","DC",2020-01-21,NA,2020-01-22,"0"
"IL","1","4","DC",2020-01-21,NA,2020-01-23,"6"
"IL","1","4","DC",2020-01-21,NA,2020-01-24,"0"
"IL","1","4","DC",2020-01-21,NA,2020-01-25,"2"
"IL","1","4","DC",2020-01-21,NA,2020-01-26,"0"
"IL","1","4","DC",2020-01-21,NA,2020-01-27,"0"
"IL","1","4","DC",2020-01-21,NA,2020-01-28,"0"
"IL","1","4","DC",2020-01-21,NA,2020-01-29,"0"
"IL","1","4","DC",2020-01-21,NA,2020-01-30,"1"
"IL","1","4","DC",2020-01-21,NA,2020-01-31,"0"
"IL","1","4","DC",2020-01-21,NA,2020-02-01,"NA"
"IL","1","4","DC",2020-01-21,NA,2020-02-02,"NA"
"IL","1","4","DC",2020-01-21,NA,2020-02-03,"0"
"IL","1","4","DC",2020-01-21,NA,2020-02-04,"0"
"IL","1","4","DC",2020-01-21,NA,2020-02-05,"0"
"IL","1","4","DC",2020-01-21,NA,2020-02-06,"0"
